10/01/2019,TOR HYD ELEC W2H2L4 ,99.00,,3308.35
10/17/2019,GC 1476-TRANSFER    ,,3000.00,6308.35
10/17/2019,ENBRIDGE GAS  A6Z8W7,61.84,,6246.51
10/17/2019,                    ,0.00,,6246.51
10/28/2019,LL222 TFR-TO C/C    ,270.81,,5975.70
10/31/2019,PTS TO:  13283303621,10.00,,5965.70
10/31/2019,TOR HYD ELEC  L9Y4R7,90.06,,5875.64
10/31/2019,                    ,0.00,,5875.64
10/31/2019,PASSBOOK FEE        ,2.25,,5873.39
10/31/2019,MONTHLY ACCOUNT FEE ,3.95,,5869.44
10/31/2019,ACCT BAL REBATE     ,,3.95,5873.39
